Process Area,Data Stream Name,Data Stream Definition,Type,Comments,Key Value
DM_01,CL_TX_DM,[TX]::[Intermediate.DM_JN_EX],Derived,,DM_01.CL_TX_DM
DM_01,AR_DM,,Source,,DM_01.AR_DM
EX_01,MER_EX,"[MG]::[EX.PART_SM_EX],[EX.PART_SMAB_EX],[EX.PART_SMAU_EX],[EX.PART_EX_AR_SMR_EX],[EX.PART_SMLS_EX]",Derived,,EX_01.MER_EX
EX_01,CL_TX_SM_EX,[TX]::[Source.AR_SM_EX],Derived,,EX_01.CL_TX_SM_EX
EX_01,AR_SM_EX,,Source,,EX_01.AR_SM_EX
EX_01,CL_TX_SMAB_EX,[TX]::[Source.AR_SMAB_EX],Derived,,EX_01.CL_TX_SMAB_EX
EX_01,AR_SMAB_EX,,Source,,EX_01.AR_SMAB_EX
DM_01,DM_JN_EX,"[JN]::[Source.AR_DM: key={source.AR_DM.USUBJID}]*,[Intermediate.EX_AGG: key={intermediate.EX_AGG.USUBJID}],[Source.AR_DEATH_CE: key={source.AR_DEATH_CE.USUBJID}],[Source.AR_SA_SC: key={source.AR_SA_SC.USUBJID}]",Derived,,DM_01.DM_JN_EX
DM_01,EX_AGG,[AG]::[Target.EX: key={ldm.EX.USUBJID}],Derived,,DM_01.EX_AGG
EC_01,CL_SM_EC,[TX]::[Intermediate.SM_TX],Derived,,EC_01.CL_SM_EC
DS_01,CL_DS01_DS,"[TX]::[Source.AR_DS01_DS: filter={source.AR_DS01_DS.DSTERM!=""DEATH""}]",Derived,,DS_01.CL_DS01_DS
DS_01,AR_DS01_DS,,Source,,DS_01.AR_DS01_DS
SV_01,CL_DOV_SV,[TX]::[Source.AR_DOV_SV],Derived,,SV_01.CL_DOV_SV
SV_01,AR_DOV_SV,,Source,,SV_01.AR_DOV_SV
BS_01,CL_SCI_BS,[TX]::[Source.AR_SCI_BS],Derived,,BS_01.CL_SCI_BS
BS_01,AR_SCI_BS,,Source,,BS_01.AR_SCI_BS
DS_01,CL_DOLC_DS,[TX]::[Source.AR_DOLC_DS],Derived,,DS_01.CL_DOLC_DS
DS_01,AR_DOLC_DS,,Source,,DS_01.AR_DOLC_DS
DS_01,CL_FBRC_ZE,[TX filter={CL_FBRC_ZE.DSTERM != ''}]::[Intermediate.REASON_JN],Derived,,DS_01.CL_FBRC_ZE
DS_01,AR_FBRC_ZE,,Source,,DS_01.AR_FBRC_ZE
DS_01,CL_PMS1_DS,"[TX]::[Source.AR_PMS1_DS: filter={source.AR_PMS1_DS.DSTERM!=""DEATH""}]",Derived,,DS_01.CL_PMS1_DS
DS_01,AR_PMS1_DS,,Source,,DS_01.AR_PMS1_DS
DS_01,CL_SR_DS,[TX]::[Source.AR_SR_DS],Derived,,DS_01.CL_SR_DS
DS_01,AR_SR_DS,,Source,,DS_01.AR_SR_DS
