formname,form_version,question_level_1,question_level_2,question_level_3,question_level_4,question_level_5,question_level_6,question_level_7,question_mapping_index,mapping_text,mapping_attribute,target_domain,target_variable,annotation_offset_x,annotation_offset_y,annotation_width,annotation_height,source_domain,source_variable,derivation_text,Key Value
<R>.*</R>: Form: Visit,1,,,,,,,,,SV = Subject Visit,,SV,,100,0,200,50,,,,<R>.*</R>: Form: Visit.1........SV = Subject Visit.SV.
<R>.*</R>: Form: Visit,1,Visit Date,,,,,,,1,Used to derive SVSTDTC and SVENDTC,,SV,Used to derive SVSTDTC and SVENDTC,100,0,200,50,,,,<R>.*</R>: Form: Visit.1.Visit Date.......Used to derive SVSTDTC and SVENDTC.SV.Used to derive SVSTDTC and SVENDTC
<R>.*</R>: Form: Inclusion/Exclusion Criteria,1,,,,,,,,,DS = Disposition,,DS,,100,0,200,50,,,,<R>.*</R>: Form: Inclusion/Exclusion Criteria.1........DS = Disposition.DS.
<R>.*</R>: Form: Inclusion/Exclusion Criteria,1,,,,,,,,,DSSCAT,,DS,DSSCAT,100,0,200,50,,,,<R>.*</R>: Form: Inclusion/Exclusion Criteria.1........DSSCAT.DS.DSSCAT
<R>.*</R>: Form: Inclusion/Exclusion Criteria,1,Informed Consent Date,,,,,,,1,RFICDTC,,DM,RFICDTC,100,0,200,50,,,,<R>.*</R>: Form: Inclusion/Exclusion Criteria.1.Informed Consent Date.......RFICDTC.DM.RFICDTC
<R>.*</R>: Form: Inclusion/Exclusion Criteria,1,Informed Consent Date,,,,,,,1,DSSTDTC,,DS,DSSTDTC,100,0,200,50,,,,<R>.*</R>: Form: Inclusion/Exclusion Criteria.1.Informed Consent Date.......DSSTDTC.DS.DSSTDTC
<R>.*</R>: Form: Inclusion/Exclusion Criteria,1,Informed Consent Date,,,,,,,1,DSTERM where DSDECOD = INFORMED CONSENT OBTAINED ,,DS,DSTERM,100,0,200,50,,,,<R>.*</R>: Form: Inclusion/Exclusion Criteria.1.Informed Consent Date.......DSTERM where DSDECOD = INFORMED CONSENT OBTAINED .DS.DSTERM
<R>.*</R>: Form: Inclusion/Exclusion Criteria,1,Informed Consent Date,,,,,,,1,DSCAT = PROTOCOL MILESTONE,,DS,DSCAT,100,0,200,50,,,,<R>.*</R>: Form: Inclusion/Exclusion Criteria.1.Informed Consent Date.......DSCAT = PROTOCOL MILESTONE.DS.DSCAT
<R>.*</R>: Form: Inclusion/Exclusion Criteria,1,What version of the protocol did the subject consent to?,1.0 Original (11 January 2018),,,,,,1,SUPPDS.QVAL where QNAM = ICFVER ,,DS,ICFVER,100,0,200,50,,,,<R>.*</R>: Form: Inclusion/Exclusion Criteria.1.What version of the protocol did the subject consent to?.1.0 Original (11 January 2018)......SUPPDS.QVAL where QNAM = ICFVER .DS.ICFVER
<R>.*</R>: Form: Inclusion/Exclusion Criteria,1,Did subject consent to sample storage and use for future research?,No,,,,,,1,SUPPDS.QVAL where QNAM = ICSSTR ,,DS,ICSSTR,100,0,200,50,,,,<R>.*</R>: Form: Inclusion/Exclusion Criteria.1.Did subject consent to sample storage and use for future research?.No......SUPPDS.QVAL where QNAM = ICSSTR .DS.ICSSTR
<R>.*</R>: Form: Inclusion/Exclusion Criteria,1,Did subject consent to sample storage and use for future research?,Yes,,,,,,1,SUPPDS.QVAL where QNAM = ICSSTR ,,DS,ICSSTR,100,0,200,50,,,,<R>.*</R>: Form: Inclusion/Exclusion Criteria.1.Did subject consent to sample storage and use for future research?.Yes......SUPPDS.QVAL where QNAM = ICSSTR .DS.ICSSTR
<R>.*</R>: Form: Inclusion/Exclusion Criteria,1,"If Phase 1 Part A, did the subject consent to provide optional fresh tumor biopsy samples?",No,,,,,,1,SUPPDS.QVAL where QNAM = CSOFTBS ,,DS,CSOFTBS,100,0,200,50,,,,"<R>.*</R>: Form: Inclusion/Exclusion Criteria.1.If Phase 1 Part A, did the subject consent to provide optional fresh tumor biopsy samples?.No......SUPPDS.QVAL where QNAM = CSOFTBS .DS.CSOFTBS"
<R>.*</R>: Form: Inclusion/Exclusion Criteria,1,"If Phase 1 Part A, did the subject consent to provide optional fresh tumor biopsy samples?",Yes,,,,,,1,SUPPDS.QVAL where QNAM = CSOFTBS ,,DS,CSOFTBS,100,0,200,50,,,,"<R>.*</R>: Form: Inclusion/Exclusion Criteria.1.If Phase 1 Part A, did the subject consent to provide optional fresh tumor biopsy samples?.Yes......SUPPDS.QVAL where QNAM = CSOFTBS .DS.CSOFTBS"
<R>.*</R>: Form: Inclusion/Exclusion Criteria,1,"If Phase 1 Part A, did the subject consent to provide optional fresh tumor biopsy samples?",Not Applicable,,,,,,1,SUPPDS.QVAL where QNAM = CSOFTBS ,,DS,CSOFTBS,100,0,200,50,,,,"<R>.*</R>: Form: Inclusion/Exclusion Criteria.1.If Phase 1 Part A, did the subject consent to provide optional fresh tumor biopsy samples?.Not Applicable......SUPPDS.QVAL where QNAM = CSOFTBS .DS.CSOFTBS"
<R>.*</R>: Form: Inclusion/Exclusion Criteria,1,"If Not applicable, please comment:",,,,,,,1,SUPPDS.QVAL where QNAM = DSCOM ,,DS,DSCOM,100,0,200,50,,,,"<R>.*</R>: Form: Inclusion/Exclusion Criteria.1.If Not applicable, please comment:.......SUPPDS.QVAL where QNAM = DSCOM .DS.DSCOM"
<R>.*</R>: Form: Inclusion/Exclusion Criteria,1,Did the subject meet all eligibility criteria?,No,,,,,,1,NOT SUBMITTED,,REMARK,REMARK,100,0,200,50,,,,<R>.*</R>: Form: Inclusion/Exclusion Criteria.1.Did the subject meet all eligibility criteria?.No......NOT SUBMITTED.REMARK.REMARK
<R>.*</R>: Form: Inclusion/Exclusion Criteria,1,Did the subject meet all eligibility criteria?,Yes,,,,,,1,NOT SUBMITTED,,REMARK,REMARK,100,0,200,50,,,,<R>.*</R>: Form: Inclusion/Exclusion Criteria.1.Did the subject meet all eligibility criteria?.Yes......NOT SUBMITTED.REMARK.REMARK
<R>.*</R>: Form: Inclusion/Exclusion Criteria,1,Criterion ID Not Met,,,,,,,1,IESPID,,IE,IESPID,100,0,200,50,,,,<R>.*</R>: Form: Inclusion/Exclusion Criteria.1.Criterion ID Not Met.......IESPID.IE.IESPID
<R>.*</R>: Form: Inclusion/Exclusion Criteria,1,Criterion ID Not Met,,,,,,,1,IECAT,,IE,IECAT,100,0,200,50,,,,<R>.*</R>: Form: Inclusion/Exclusion Criteria.1.Criterion ID Not Met.......IECAT.IE.IECAT
<R>.*</R>: Form: Inclusion/Exclusion Criteria,1,Was the subject randomized/enrolled?,No,,,,,,1,SUPPDM.QVAL where QNAM = RANDENR ,,DM,RANDENR,100,0,200,50,,,,<R>.*</R>: Form: Inclusion/Exclusion Criteria.1.Was the subject randomized/enrolled?.No......SUPPDM.QVAL where QNAM = RANDENR .DM.RANDENR
<R>.*</R>: Form: Inclusion/Exclusion Criteria,1,Was the subject randomized/enrolled?,No,,,,,,1,DSTERM where DSDECOD = RANDOMIZED if randomized else ENROLLED ,,DS,DSTERM,100,0,200,50,,,,<R>.*</R>: Form: Inclusion/Exclusion Criteria.1.Was the subject randomized/enrolled?.No......DSTERM where DSDECOD = RANDOMIZED if randomized else ENROLLED .DS.DSTERM
<R>.*</R>: Form: Inclusion/Exclusion Criteria,1,Was the subject randomized/enrolled?,Yes,,,,,,1,SUPPDM.QVAL where QNAM = RANDENR ,,DM,RANDENR,100,0,200,50,,,,<R>.*</R>: Form: Inclusion/Exclusion Criteria.1.Was the subject randomized/enrolled?.Yes......SUPPDM.QVAL where QNAM = RANDENR .DM.RANDENR
<R>.*</R>: Form: Inclusion/Exclusion Criteria,1,Was the subject randomized/enrolled?,Yes,,,,,,1,DSTERM where DSDECOD = RANDOMIZED if randomized else ENROLLED ,,DS,DSTERM,100,0,200,50,,,,<R>.*</R>: Form: Inclusion/Exclusion Criteria.1.Was the subject randomized/enrolled?.Yes......DSTERM where DSDECOD = RANDOMIZED if randomized else ENROLLED .DS.DSTERM
<R>.*</R>: Form: Inclusion/Exclusion Criteria,1,If the subject was not randomized please provide the reason,,,,,,,1,SUPPDM.QVAL where QNAM = NRANRES ,,DM,NRANRES,100,0,200,50,,,,<R>.*</R>: Form: Inclusion/Exclusion Criteria.1.If the subject was not randomized please provide the reason.......SUPPDM.QVAL where QNAM = NRANRES .DM.NRANRES
<R>.*</R>: Form: Inclusion/Exclusion Criteria,1,If the subject was not randomized please provide the reason,,,,,,,1,DSTERM,,DS,DSTERM,100,0,200,50,,,,<R>.*</R>: Form: Inclusion/Exclusion Criteria.1.If the subject was not randomized please provide the reason.......DSTERM.DS.DSTERM
Form: Demographics,1,,,,,,,,,DM = Demographics,,DM,,100,0,200,50,,,,Form: Demographics.1........DM = Demographics.DM.
Form: Demographics,1,Year of Birth,,,,,,,1,BRTHDTC,,DM,BRTHDTC,100,0,200,50,,,,Form: Demographics.1.Year of Birth.......BRTHDTC.DM.BRTHDTC
Form: Demographics,1,Age,Fixed Unit: Years,,,,,,1,AGE,,DM,AGE,100,0,200,50,,,,Form: Demographics.1.Age.Fixed Unit: Years......AGE.DM.AGE
Form: Demographics,1,Age,Fixed Unit: Years,,,,,,1,AGEU,,DM,AGEU,100,0,200,50,,,,Form: Demographics.1.Age.Fixed Unit: Years......AGEU.DM.AGEU
Form: Demographics,1,Sex,Female,Does the subject have child bearing potential?,No,,,,1,SEX,,DM,SEX,100,0,200,50,,,,Form: Demographics.1.Sex.Female.Does the subject have child bearing potential?.No....SEX.DM.SEX
Form: Demographics,1,Sex,Female,Does the subject have child bearing potential?,No,,,,3,RPORRES where RPTESTCD = CHILDPOT ,0,RP,RPORRES,100,0,200,50,,,,Form: Demographics.1.Sex.Female.Does the subject have child bearing potential?.No....RPORRES where RPTESTCD = CHILDPOT .RP.RPORRES
Form: Demographics,1,Sex,Female,Does the subject have child bearing potential?,No,,,,3,RPSTAT,,RP,RPSTAT,100,0,200,50,,,,Form: Demographics.1.Sex.Female.Does the subject have child bearing potential?.No....RPSTAT.RP.RPSTAT
Form: Demographics,1,Sex,Female,Does the subject have child bearing potential?,No,,,,3,RPREASND,,RP,RPREASND,100,0,200,50,,,,Form: Demographics.1.Sex.Female.Does the subject have child bearing potential?.No....RPREASND.RP.RPREASND
