Process Area,Data Stream,Variable Name,Variable Type,Variable Length,Derivation,Sdtm Mapping,IDVAR,QEVAL,Comments,Key Value
DM_01,CL_TX_DM,STUDYID,Char,12,source.AR_DM.STUDYID,DM.STUDYID,,,,DM_01.CL_TX_DM.STUDYID
DM_01,CL_TX_DM,SUBJID,Char,10,"if (source.AR_DM.SUBJID="""") compress(scan(source.AR_DM.USUBJID,-1,'_'))   else source.AR_DM.SUBJID",DM.SUBJID,,,,DM_01.CL_TX_DM.SUBJID
DM_01,CL_TX_DM,USUBJID,Char,30,source.AR_DM.USUBJID,DM.USUBJID,,,,DM_01.CL_TX_DM.USUBJID
DM_01,CL_TX_DM,ACTARMCD,Char,8,source.AR_DM.ACTARMCD,DM.ACTARMCD,,,,DM_01.CL_TX_DM.ACTARMCD
DM_01,CL_TX_DM,ACTARM,Char,150,source.AR_DM.ACTARM,DM.ACTARM,,,,DM_01.CL_TX_DM.ACTARM
DM_01,CL_TX_DM,AGE,Num,8,source.AR_DM.AGE,DM.AGE,,,,DM_01.CL_TX_DM.AGE
DM_01,CL_TX_DM,AGEU,Char,6,source.AR_DM.AGEU,DM.AGEU,,,,DM_01.CL_TX_DM.AGEU
DM_01,CL_TX_DM,ARM,Char,150,source.AR_DM.ARM,DM.ARM,,,,DM_01.CL_TX_DM.ARM
DM_01,CL_TX_DM,ARMCD,Char,8,source.AR_DM.ARMCD,DM.ARMCD,,,,DM_01.CL_TX_DM.ARMCD
DM_01,CL_TX_DM,BRTHDTC,Char,19,source.AR_DM.BRTHDTC,DM.BRTHDTC,,,,DM_01.CL_TX_DM.BRTHDTC
DM_01,CL_TX_DM,COUNTRY,Char,3,source.AR_DM.COUNTRY,DM.COUNTRY,,,,DM_01.CL_TX_DM.COUNTRY
DM_01,CL_TX_DM,ETHNIC,Char,22,source.AR_DM.ETHNIC,DM.ETHNIC,,,,DM_01.CL_TX_DM.ETHNIC
DM_01,CL_TX_DM,INVID,Char,10,source.AR_DM.INVID,DM.INVID,,,,DM_01.CL_TX_DM.INVID
DM_01,CL_TX_DM,INVNAM,Char,60,source.AR_DM.INVNAM,DM.INVNAM,,,,DM_01.CL_TX_DM.INVNAM
DM_01,CL_TX_DM,RACE,Char,50,source.AR_DM.RACE,DM.RACE,,,,DM_01.CL_TX_DM.RACE
DM_01,CL_TX_DM,RFENDTC,Char,19,source.AR_DM.RFENDTC,DM.RFENDTC,,,,DM_01.CL_TX_DM.RFENDTC
DM_01,CL_TX_DM,RFSTDTC,Char,19,source.AR_DM.RFSTDTC,DM.RFSTDTC,,,,DM_01.CL_TX_DM.RFSTDTC
DM_01,CL_TX_DM,SEX,Char,16,source.AR_DM.SEX,DM.SEX,,,,DM_01.CL_TX_DM.SEX
DM_01,CL_TX_DM,SITEID,Char,90,source.AR_DM.SITEID,DM.SITEID,,,,DM_01.CL_TX_DM.SITEID
DM_01,CL_TX_DM,DOMAIN,Char,10,'DM',DM.DOMAIN,,,,DM_01.CL_TX_DM.DOMAIN
DM_01,CL_TX_DM,RFXSTDTC,Char,19,intermediate.EX_AGG.MINSTDTC,DM.RFXSTDTC,,,,DM_01.CL_TX_DM.RFXSTDTC
DM_01,CL_TX_DM,RFXENDTC,Char,19,if(intermediate.EX_AGG.MAXENDTC != '') intermediate.EX_AGG.MAXENDTC   else intermediate.EX_AGG.MAXSTDTC,DM.RFXENDTC,,,,DM_01.CL_TX_DM.RFXENDTC
DM_01,CL_TX_DM,RFPENDTC,Char,19,'',DM.RFPENDTC,,,,DM_01.CL_TX_DM.RFPENDTC
DM_01,CL_TX_DM,RACEASIA,Char,200,"if(source.AR_DM.RACEASIA= 'MADAGASCAR') ""MALAGASY""   else source.AR_DM.RACEASIA",DM.RACEASIA,,,,DM_01.CL_TX_DM.RACEASIA
DM_01,CL_TX_DM,RACE1,Char,200,source.AR_DM.RACEAIAN,DM.RACE1,,,,DM_01.CL_TX_DM.RACE1
DM_01,CL_TX_DM,RACE2,Char,200,source.AR_DM.RACEBKAA,DM.RACE2,,,,DM_01.CL_TX_DM.RACE2
DM_01,CL_TX_DM,RACE3,Char,200,source.AR_DM.RACENHPI,DM.RACE3,,,,DM_01.CL_TX_DM.RACE3
DM_01,CL_TX_DM,RACE4,Char,200,source.AR_DM.RACEWHTE,DM.RACE4,,,,DM_01.CL_TX_DM.RACE4
DM_01,CL_TX_DM,RACE5,Char,200,source.AR_DM.RACEASN,DM.RACE5,,,,DM_01.CL_TX_DM.RACE5
DM_01,CL_TX_DM,DTHDTC,Char,19,source.AR_DEATH_CE.CESTDTC,DM.DTHDTC,,,,DM_01.CL_TX_DM.DTHDTC
DM_01,CL_TX_DM,DTHFL,Char,2,if(source.AR_DEATH_CE.CESTDTC != '') 'Y',DM.DTHFL,,,,DM_01.CL_TX_DM.DTHFL
DM_01,CL_TX_DM,SCRNUM,Char,200,source.AR_SA_SC.SCORRES,DM.SCRNUM,,,,DM_01.CL_TX_DM.SCRNUM
DM_01,CL_TX_DM,BRTHDTI,Char,19,source.AR_DM.BRTHDTI,DM.BRTHDTI,,,,DM_01.CL_TX_DM.BRTHDTI
DM_01,CL_TX_DM,DMCAGEU,Char,6,source.AR_DM.DMCAGEU,DM.DMCAGEU,,,,DM_01.CL_TX_DM.DMCAGEU
DM_01,CL_TX_DM,SITENUM,Char,10,source.AR_DM.SITENUM,DM.SITENUM,,,,DM_01.CL_TX_DM.SITENUM
DM_01,CL_TX_DM,DMCAGE,Char,200,"lrtrim(left(put(source.AR_DM.DMCAGE,""BEST16."")))",DM.DMCAGE,,,,DM_01.CL_TX_DM.DMCAGE
DM_01,CL_TX_DM,SCRCONF,Char,200,"lrtrim(left(put(source.AR_SA_SC.SCRCONF, ""BEST16."")))",DM.SCRCONF,,,,DM_01.CL_TX_DM.SCRCONF
EX_01,MER_EX,EXSTDTC,Char,20,,EX.EXSTDTC,,,,EX_01.MER_EX.EXSTDTC
EX_01,MER_EX,EXENDTC,Char,20,,EX.EXENDTC,,,,EX_01.MER_EX.EXENDTC
EX_01,MER_EX,USUBJID,Char,25,,EX.USUBJID,,,,EX_01.MER_EX.USUBJID
EX_01,MER_EX,DOMAIN,Char,2,'EX',EX.DOMAIN,,,,EX_01.MER_EX.DOMAIN
EX_01,CL_TX_SM_EX,STUDYID,Char,12,source.AR_SM_EX.STUDYID,EX.PART_SM_EX.STUDYID,,,,EX_01.CL_TX_SM_EX.STUDYID
EX_01,CL_TX_SM_EX,USUBJID,Char,30,source.AR_SM_EX.USUBJID,EX.PART_SM_EX.USUBJID,,,,EX_01.CL_TX_SM_EX.USUBJID
EX_01,CL_TX_SM_EX,VISIT,Char,60,source.AR_SM_EX.VISIT,EX.PART_SM_EX.VISIT,,,,EX_01.CL_TX_SM_EX.VISIT
EX_01,CL_TX_SM_EX,EXSEQ,Num,8,source.AR_SM_EX.EXSEQ,EX.PART_SM_EX.EXSEQ,,,,EX_01.CL_TX_SM_EX.EXSEQ
EX_01,CL_TX_SM_EX,EXGRPID,Char,40,source.AR_SM_EX.EXGRPID,EX.PART_SM_EX.EXGRPID,,,,EX_01.CL_TX_SM_EX.EXGRPID
EX_01,CL_TX_SM_EX,VISITNUM,Num,8,source.AR_SM_EX.VISITNUM,EX.PART_SM_EX.VISITNUM,,,,EX_01.CL_TX_SM_EX.VISITNUM
EX_01,CL_TX_SM_EX,EPOCH,Char,40,source.AR_SM_EX.EPOCH,EX.PART_SM_EX.EPOCH,,,,EX_01.CL_TX_SM_EX.EPOCH
EX_01,CL_TX_SM_EX,EXADJ,Char,200,if(source.AR_SM_EX.EXNUMDOS > 0) source.AR_SM_EX.EXADJ   else '',EX.PART_SM_EX.EXADJ,,,,EX_01.CL_TX_SM_EX.EXADJ
EX_01,CL_TX_SM_EX,EXCAT,Char,20,source.AR_SM_EX.EXCAT,EX.PART_SM_EX.EXCAT,,,,EX_01.CL_TX_SM_EX.EXCAT
EX_01,CL_TX_SM_EX,EXDIR,Char,50,source.AR_SM_EX.EXDIR,EX.PART_SM_EX.EXDIR,,,,EX_01.CL_TX_SM_EX.EXDIR
EX_01,CL_TX_SM_EX,EXDOSE,Num,8,if(source.AR_SM_EX.EXNUMDOS > 0) source.AR_SM_EX.EXDOSE   else null,EX.PART_SM_EX.EXDOSE,,,,EX_01.CL_TX_SM_EX.EXDOSE
EX_01,CL_TX_SM_EX,EXDOSFRM,Char,70,source.AR_SM_EX.EXDOSFRM,EX.PART_SM_EX.EXDOSFRM,,,,EX_01.CL_TX_SM_EX.EXDOSFRM
EX_01,CL_TX_SM_EX,EXDOSFRQ,Char,50,source.AR_SM_EX.EXDOSFRQ,EX.PART_SM_EX.EXDOSFRQ,,,,EX_01.CL_TX_SM_EX.EXDOSFRQ
EX_01,CL_TX_SM_EX,EXDOSRGM,Char,60,source.AR_SM_EX.EXDOSRGM,EX.PART_SM_EX.EXDOSRGM,,,,EX_01.CL_TX_SM_EX.EXDOSRGM
EX_01,CL_TX_SM_EX,EXDOSU,Char,40,source.AR_SM_EX.EXDOSU,EX.PART_SM_EX.EXDOSU,,,,EX_01.CL_TX_SM_EX.EXDOSU
EX_01,CL_TX_SM_EX,EXENDTC,Char,19,source.AR_SM_EX.EXENDTC,EX.PART_SM_EX.EXENDTC,,,,EX_01.CL_TX_SM_EX.EXENDTC
EX_01,CL_TX_SM_EX,EXENDY,Num,8,source.AR_SM_EX.EXENDY,EX.PART_SM_EX.EXENDY,,,,EX_01.CL_TX_SM_EX.EXENDY
EX_01,CL_TX_SM_EX,EXLAT,Char,50,source.AR_SM_EX.EXLAT,EX.PART_SM_EX.EXLAT,,,,EX_01.CL_TX_SM_EX.EXLAT
EX_01,CL_TX_SM_EX,EXLOC,Char,80,source.AR_SM_EX.EXLOC,EX.PART_SM_EX.EXLOC,,,,EX_01.CL_TX_SM_EX.EXLOC
EX_01,CL_TX_SM_EX,EXLOT,Char,50,source.AR_SM_EX.EXLOT,EX.PART_SM_EX.EXLOT,,,,EX_01.CL_TX_SM_EX.EXLOT
EX_01,CL_TX_SM_EX,EXROUTE,Char,50,source.AR_SM_EX.EXROUTE,EX.PART_SM_EX.EXROUTE,,,,EX_01.CL_TX_SM_EX.EXROUTE
EX_01,CL_TX_SM_EX,EXSTDTC,Char,19,source.AR_SM_EX.EXSTDTC,EX.PART_SM_EX.EXSTDTC,,,,EX_01.CL_TX_SM_EX.EXSTDTC
EX_01,CL_TX_SM_EX,EXSTDY,Num,8,source.AR_SM_EX.EXSTDY,EX.PART_SM_EX.EXSTDY,,,,EX_01.CL_TX_SM_EX.EXSTDY
