Process Area,Domain,Domain Label,Domain Class,Partition,Data Stream,Comments,Key Value
EX_01,EX,,INTERVENTIONS,DEFAULT,MER_EX,,EX_01.EX.DEFAULT
EX_01,EX,,INTERVENTIONS,PART_SM_EX,CL_TX_SM_EX,,EX_01.EX.PART_SM_EX
EX_01,EX,,INTERVENTIONS,PART_SMAB_EX,CL_TX_SMAB_EX,,EX_01.EX.PART_SMAB_EX
EX_01,EX,,INTERVENTIONS,PART_SMAU_EX,CL_AR_SMAU_EX,,EX_01.EX.PART_SMAU_EX
EX_01,EX,,INTERVENTIONS,PART_EX_AR_SMR_EX,EX_AR_SMR_EX,,EX_01.EX.PART_EX_AR_SMR_EX
EX_01,EX,,INTERVENTIONS,PART_SMLS_EX,CL_SMLS_EX,,EX_01.EX.PART_SMLS_EX
DM_01,DM,,SPECIAL PURPOSE,DEFAULT,CL_TX_DM,,DM_01.DM.DEFAULT
DS_01,DS,,EVENTS,PART_DS01_DS,CL_DS01_DS,,DS_01.DS.PART_DS01_DS
DS_01,DS,,EVENTS,PART_DOLC_DS,CL_DOLC_DS,,DS_01.DS.PART_DOLC_DS
DS_01,DS,,EVENTS,PART_FBRC_ZE,CL_FBRC_ZE,,DS_01.DS.PART_FBRC_ZE
DS_01,DS,,EVENTS,PART_PMS1_DS,CL_PMS1_DS,,DS_01.DS.PART_PMS1_DS
DS_01,DS,,EVENTS,PART_SR_DS,CL_SR_DS,,DS_01.DS.PART_SR_DS
DS_01,DS,,EVENTS,PART_SSTC_ZF,CL_SSTC_ZF,,DS_01.DS.PART_SSTC_ZF
DS_01,DS,,EVENTS,DEFAULT,MER_DS,,DS_01.DS.DEFAULT
DS_01,DS,,EVENTS,PART_CL_DEATH_DS,CL_DEATH_DS,,DS_01.DS.PART_CL_DEATH_DS
DS_01,DS,,EVENTS,PART_CL_SRR_DS,CL_SRR_DS,,DS_01.DS.PART_CL_SRR_DS
BS_01,BS,,FINDINGS,DEFAULT,MER_BS,,BS_01.BS.DEFAULT
BS_01,BS,,FINDINGS,PART_CL_SCI_BS,CL_SCI_BS,,BS_01.BS.PART_CL_SCI_BS
BS_01,BS,,FINDINGS,PART_CL_PD_BS,CL_PD_BS,,BS_01.BS.PART_CL_PD_BS
BS_01,BS,,FINDINGS,PART_CL_MSC_BS,CL_MSC_BS,,BS_01.BS.PART_CL_MSC_BS
BS_01,BS,,FINDINGS,PART_HIST_EDT_PH,CL_HIST_EDT_PH,,BS_01.BS.PART_HIST_EDT_PH
SV_01,SV,,SPECIAL PURPOSE,DEFAULT,CL_DOV_SV,,SV_01.SV.DEFAULT
AE_01,AE,,EVENTS,DEFAULT,CL_AE,,AE_01.AE.DEFAULT
PR_01,PR,,INTERVENTIONS,PART_PROC_PR,CL_PROC_PR,,PR_01.PR.PART_PROC_PR
PR_01,PR,,INTERVENTIONS,DEFAULT,MER_PR,,PR_01.PR.DEFAULT
PR_01,PR,,INTERVENTIONS,PART_HSCT_PR,CL_HSCT_PR,,PR_01.PR.PART_HSCT_PR
PR_01,PR,,INTERVENTIONS,PART_CL_CDIHX_PR,CL_CDIHX_PR,,PR_01.PR.PART_CL_CDIHX_PR
PR_01,PR,,INTERVENTIONS,PART_CL_RTP_PR,CL_RTP_PR,,PR_01.PR.PART_CL_RTP_PR
PR_01,PR,,INTERVENTIONS,PART_CL_SI_PR,CL_SI_PR,,PR_01.PR.PART_CL_SI_PR
PR_01,PR,,INTERVENTIONS,PART_CL_PROCE_EDT_PR,CL_PROCE_EDT_PR,,PR_01.PR.PART_CL_PROCE_EDT_PR
PR_01,PR,,INTERVENTIONS,PART_CL_PR_SCAN_PR,CL_PR_SCAN_PR,,PR_01.PR.PART_CL_PR_SCAN_PR
PR_01,PR,,INTERVENTIONS,PART_CL_AOS_PR,CL_PR_AOS_PR,,PR_01.PR.PART_CL_AOS_PR
PR_01,PR,,INTERVENTIONS,PART_CL_PR_PSF_PR,CL_PR_PSF_PR,,PR_01.PR.PART_CL_PR_PSF_PR
PR_01,PR,,INTERVENTIONS,PART_CL_PR_UTA1_PR,CL_PR_UTA1_PR,,PR_01.PR.PART_CL_PR_UTA1_PR
IE_01,IE,,FINDINGS,DEFAULT,CL_IE,,IE_01.IE.DEFAULT
CE_01,CE,,EVENTS,DEFAULT,CE_OUT,,CE_01.CE.DEFAULT
CE_01,CE,,EVENTS,PART_CE_COUGH,CL_COUGHE_EDT_CE,,CE_01.CE.PART_CE_COUGH
CE_01,CE,,EVENTS,PART_CE_RASH,CE_TX_CF,,CE_01.CE.PART_CE_RASH
CE_01,CE,,EVENTS,PART_VRCSC_CE,LDIAM_JN_EPMAXNUM,,CE_01.CE.PART_VRCSC_CE
CE_01,CE,,EVENTS,PART_CL_CDIB_CE,CL_CDIB_CE,,CE_01.CE.PART_CL_CDIB_CE
CE_01,CE,,EVENTS,PART_CL_DR_CE,CL_DR_CE,,CE_01.CE.PART_CL_DR_CE
CE_01,CE,,EVENTS,PART_CL_RTO_CE,CL_RTO_CE,,CE_01.CE.PART_CL_RTO_CE
CE_01,CE,,EVENTS,PART_CL_SOI_CE,CL_SOI_CE,,CE_01.CE.PART_CL_SOI_CE
CE_01,CE,,EVENTS,PART_CL_ADJE_EDT_CE,CL_ADJE_EDT_CE,,CE_01.CE.PART_CL_ADJE_EDT_CE
CE_01,CE,,EVENTS,PART_CL_CA_CE,CL_CA_CE,,CE_01.CE.PART_CL_CA_CE
CE_01,CE,,EVENTS,PART_CL_SI_CE,CL_SI_CE,,CE_01.CE.PART_CL_SI_CE
CE_01,CE,,EVENTS,PART_CL_RIA_CE,CL_RIA_CE,,CE_01.CE.PART_CL_RIA_CE
CE_01,CE,,EVENTS,PART_CL_ABSI_CE,CL_ABSI_CE,,CE_01.CE.PART_CL_ABSI_CE
CE_01,CE,,EVENTS,PART_CL_BISS1_CE,CL_CE_BISS1_CE,,CE_01.CE.PART_CL_BISS1_CE
CE_01,CE,,EVENTS,PART_CE_AR_SWA_CE,CE_AR_SWA_CE,,CE_01.CE.PART_CE_AR_SWA_CE
CE_01,CE,,EVENTS,PART_VRCS_CE,LDIAM1_JN_EPMAXNUM,,CE_01.CE.PART_VRCS_CE
CE_01,CE,,EVENTS,PART_VRCI_CE,LDIAM2_JN_EPMAXNUM,,CE_01.CE.PART_VRCI_CE
CE_01,CE,,EVENTS,PART_CL_CE_CEA_CE,CL_CE_CEA_CE,,CE_01.CE.PART_CL_CE_CEA_CE
CE_01,CE,,EVENTS,PART_CL_HA_CE,CL_HA_CE,,CE_01.CE.PART_CL_HA_CE
CE_01,CE,,EVENTS,PART_CL_CE_HOAT_CE,CL_CE_HOAT_CE,,CE_01.CE.PART_CL_CE_HOAT_CE
CE_01,CE,,EVENTS,PART_CL_HOAP_CE,CL_HOAP_CE,,CE_01.CE.PART_CL_HOAP_CE
SE_01,SE,,SPECIAL PURPOSE,DEFAULT,TX_SE,,SE_01.SE.DEFAULT
IS_01,IS,,FINDINGS,DEFAULT,IS_OUT,,IS_01.IS.DEFAULT
IS_01,IS,,FINDINGS,PART_CL_IS_PD2_BS,CL_IS_PD2_BS,,IS_01.IS.PART_CL_IS_PD2_BS
IS_01,IS,,FINDINGS,PART_CL_IMUNG_EDT,CL_IMUNG_EDT_LB_IS,,IS_01.IS.PART_CL_IMUNG_EDT
IS_01,IS,,FINDINGS,PART_IS_PD3,IS_PD3_JN,,IS_01.IS.PART_IS_PD3
SC_01,SC,,FINDINGS,PART_CL_SR_SC,CL_SR_SC,,SC_01.SC.PART_CL_SR_SC
SC_01,SC,,FINDINGS,PART_CL_SR1_SC,CL_SR1_SC,,SC_01.SC.PART_CL_SR1_SC
SC_01,SC,,FINDINGS,PART_CL_PEDI1_SC,CL_PEDI1_SC,,SC_01.SC.PART_CL_PEDI1_SC
SC_01,SC,,FINDINGS,DEFAULT,MER_SC,,SC_01.SC.DEFAULT
SC_01,SC,,FINDINGS,PART_CL_ADI_SC,CL_ADI_SC,,SC_01.SC.PART_CL_ADI_SC
SC_01,SC,,FINDINGS,PART_CL_SRR_SC,CL_SRR_SC,,SC_01.SC.PART_CL_SRR_SC
SC_01,SC,,FINDINGS,PART_AGI_SC,CL_AGI_SC,,SC_01.SC.PART_AGI_SC
SU_01,SU,,INTERVENTIONS,DEFAULT,CL_SU,,SU_01.SU.DEFAULT
VS_01,VS,,FINDINGS,PART_CL_VS_PEDI1_SC,CL_VS_PEDI1_SC,,VS_01.VS.PART_CL_VS_PEDI1_SC
VS_01,VS,,FINDINGS,DEFAULT,MER_VS,,VS_01.VS.DEFAULT
VS_01,VS,,FINDINGS,PART_CL_VS02_VS,CL_VS02_VS,,VS_01.VS.PART_CL_VS02_VS
VS_01,VS,,FINDINGS,PART_CL_CA_VS,CL_CA_VS,,VS_01.VS.PART_CL_CA_VS
VS_01,VS,,FINDINGS,PART_VSE_EDT,CL_VSE_EDT_VS,,VS_01.VS.PART_VSE_EDT
VS_01,VS,,FINDINGS,PART_CL_VS_RM_VS,CL_VS_RM_VS,,VS_01.VS.PART_CL_VS_RM_VS
VS_01,VS,,FINDINGS,PART_CL_VS_CCM_VS,CL_VS_CCM_VS,,VS_01.VS.PART_CL_VS_CCM_VS
MI_01,MI,,FINDINGS,DEFAULT,MER_MI,,MI_01.MI.DEFAULT
MI_01,MI,,FINDINGS,PART_AR_HIST_EDT_PH,CL_AR_HIST_EDT_PH,,MI_01.MI.PART_AR_HIST_EDT_PH
MI_01,MI,,FINDINGS,PART_CL_SLAB_PH,CL_SLAB_PH,,MI_01.MI.PART_CL_SLAB_PH
MB_01,MB,,FINDINGS,DEFAULT,MB_OUT,,MB_01.MB.DEFAULT
MB_01,MB,,FINDINGS,PART_CL_SLAB_MB,CL_SLAB_MB,,MB_01.MB.PART_CL_SLAB_MB
MB_01,MB,,FINDINGS,PART_CL_MORI_EDT_MB,CL_MORI_EDT_MB,,MB_01.MB.PART_CL_MORI_EDT_MB
MB_01,MB,,FINDINGS,PART_CL_LABS_EDT_MB,CL_LABS_EDT_MB,,MB_01.MB.PART_CL_LABS_EDT_MB
MB_01,MB,,FINDINGS,PART_OLB_LB,CL_OLB_LB,,MB_01.MB.PART_OLB_LB
MB_01,MB,,FINDINGS,PART_CL_SP_MB,CL_SP_MB,,MB_01.MB.PART_CL_SP_MB
MB_01,MB,,FINDINGS,PART_CL_CMVL_MB,CL_CMVL_MB,,MB_01.MB.PART_CL_CMVL_MB
MB_01,MB,,FINDINGS,PART_CL_MCRO_MB,CL_MCRO_MB,,MB_01.MB.PART_CL_MCRO_MB
MB_01,MB,,FINDINGS,PART_CL_MOI_MB,CL_MOI_MB,,MB_01.MB.PART_CL_MOI_MB
MB_01,MB,,FINDINGS,PART_MB_MCRP_MB,MB_MCRP_MB,,MB_01.MB.PART_MB_MCRP_MB
QS_01,QS,,FINDINGS,PART_CL_AUDITC_QS,CL_AUDITC_QS,,QS_01.QS.PART_CL_AUDITC_QS
QS_01,QS,,FINDINGS,DEFAULT,MER_QS,,QS_01.QS.DEFAULT
QS_01,QS,,FINDINGS,PART_CL_CSD_EDT_QS,CL_CSD_EDT_QS,,QS_01.QS.PART_CL_CSD_EDT_QS
QS_01,QS,,FINDINGS,PART_CL_CSVAS_EDT_QS,CL_CSVAS_EDT_QS,,QS_01.QS.PART_CL_CSVAS_EDT_QS
QS_01,QS,,FINDINGS,PART_CL_EQ5D5_EDT_QS,CL_EQ5D5_EDT_QS,,QS_01.QS.PART_CL_EQ5D5_EDT_QS
QS_01,QS,,FINDINGS,PART_CL_HARQ_EDT_QS,CL_HARQ_EDT_QS,,QS_01.QS.PART_CL_HARQ_EDT_QS
QS_01,QS,,FINDINGS,PART_CL_LCQC_EDT_QS,CL_LCQC_EDT_QS,,QS_01.QS.PART_CL_LCQC_EDT_QS
QS_01,QS,,FINDINGS,PART_CL_PGI_EDT_QS,CL_PGI_EDT_QS,,QS_01.QS.PART_CL_PGI_EDT_QS
QS_01,QS,,FINDINGS,PART_CL_SF12E_EDT_QS,CL_SF12E_EDT_QS,,QS_01.QS.PART_CL_SF12E_EDT_QS
QS_01,QS,,FINDINGS,PART_WPAISHP_EDT_QS,CL_WPAISHP_EDT_QS,,QS_01.QS.PART_WPAISHP_EDT_QS
QS_01,QS,,FINDINGS,PART_CL_EHP5_EDT_QS,CL_EHP5_EDT_QS,,QS_01.QS.PART_CL_EHP5_EDT_QS
QS_01,QS,,FINDINGS,PART_CL_PGIM_EDT_QS,CL_PGIM_EDT_QS,,QS_01.QS.PART_CL_PGIM_EDT_QS
QS_01,QS,,FINDINGS,PART_CL_PPDD_EDT_QS,CL_PPDD_EDT_QS,,QS_01.QS.PART_CL_PPDD_EDT_QS
QS_01,QS,,FINDINGS,PART_CL_ESS_QS,CL_ESS_QS,,QS_01.QS.PART_CL_ESS_QS
QS_01,QS,,FINDINGS,PART_CL_FOSQ_QS,CL_FOSQ_QS,,QS_01.QS.PART_CL_FOSQ_QS
QS_01,QS,,FINDINGS,PART_CL_MSQ_QS,CL_MSQ_QS,,QS_01.QS.PART_CL_MSQ_QS
QS_01,QS,,FINDINGS,PART_CL_PI_QS,CL_PI_QS,,QS_01.QS.PART_CL_PI_QS
QS_01,QS,,FINDINGS,PART_CL_MVAS_QS,CL_MVAS_QS,,QS_01.QS.PART_CL_MVAS_QS
QS_01,QS,,FINDINGS,PART_CL_CSSHX_QS,CL_CSSHX_QS,,QS_01.QS.PART_CL_CSSHX_QS
QS_01,QS,,FINDINGS,PART_CL_CSSLA_QS,CL_CSSLA_QS,,QS_01.QS.PART_CL_CSSLA_QS
QS_01,QS,,FINDINGS,PART_CL_SF36E_EDT_QS,CL_SF36E_EDT_QS,,QS_01.QS.PART_CL_SF36E_EDT_QS
QS_01,QS,,FINDINGS,PART_CL_PAA2_QS,CL_PAA2_QS,,QS_01.QS.PART_CL_PAA2_QS
QS_01,QS,,FINDINGS,PART_CL_FACES_QS,CL_FACES_QS,,QS_01.QS.PART_CL_FACES_QS
QS_01,QS,,FINDINGS,PART_CL_FLACC_QS,CL_FLACC_QS,,QS_01.QS.PART_CL_FLACC_QS
QS_01,QS,,FINDINGS,PART_CL_PAAM_QS,CL_PAAM_QS,,QS_01.QS.PART_CL_PAAM_QS
